Fuel_consumption,Engine_speed,Engine_coolant_temperature,Current_Gear,Vehicle_speed
358.4,671,87,1,0
345.6,668,87,1,0
345.6,664,87,1,0
345.6,667,87,1,0
345.6,672,87,1,0
358.4,668,87,1,0
345.6,672,87,1,0
358.4,665,87,1,0
358.4,675,87,1,0
345.6,666,87,1,0
358.4,669,87,1,0
358.4,673,87,1,0
345.6,668,88,1,0
358.4,670,88,1,0
358.4,665,88,1,0
345.6,672,88,1,0
358.4,667,88,1,0
371.2,669,88,1,0
358.4,669,88,1,0
358.4,672,88,1,0
358.4,679,88,1,0
345.6,666,88,1,0
358.4,666,88,1,0
358.4,671,88,1,0
345.6,670,88,1,0
358.4,673,88,1,0
345.6,673,88,1,0
358.4,670,88,1,0
358.4,672,88,1,0
345.6,671,88,1,0
371.2,663,88,1,0
371.2,674,88,1,0
358.4,670,88,1,0
358.4,670,88,1,0
371.2,674,88,1,0
371.2,712,88,1,0
588.8,970,88,1,2
704,1246,88,1,6
652.8,1373,88,1,8
1036.8,1712,88,1,10
1318.4,2002,88,1,13
1305.6,1759,87,2,16
691.2,1706,87,2,17
960,1850,87,2,18
972.8,1935,87,2,19
448,1388,87,2,19
448,1160,87,3,17
448,1032,86,3,15
448,956,86,3,14
601.6,1113,85,3,14
716.8,1256,85,3,15
448,1018,85,3,15
396.8,967,85,3,15
396.8,940,85,3,15
409.6,923,85,3,14
435.2,935,85,3,14
729.6,1230,85,3,14
1088,1488,85,3,16
1574.4,1729,85,3,18
1792,1791,85,3,21
1830.4,1698,85,3,24
806.4,1636,85,3,25
499.2,1521,85,3,24
448,1344,85,3,21
435.2,1187,85,3,19
396.8,1109,85,3,18
512,1184,85,3,18
1049.6,1524,85,3,18
1574.4,1750,86,3,21
1817.6,1709,86,3,24
1971.2,1763,86,3,27
2176,1933,86,3,30
2406.4,2150,86,3,34
1868.8,2297,86,3,37
614.4,1862,86,4,37
742.4,1850,86,4,37
1241.6,1969,86,4,37
435.2,1603,86,4,37
256,1103,86,4,36
320,1140,86,4,32
307.2,973,85,4,26
320,891,85,4,21
371.2,972,85,3,17
473.6,1083,85,3,16
1267.2,1606,85,3,17
1984,1885,85,3,20
1894.4,1726,85,3,24
1881.6,1760,85,3,27
2086.4,1914,85,3,30
1228.8,2006,85,3,32
640,1652,86,4,32
1241.6,1695,86,4,33
1446.4,1667,86,4,35
1036.8,1716,86,4,36
358.4,1644,86,4,35
921.6,1692,86,4,35
742.4,1666,86,4,35
704,1692,86,4,35
268.8,1580,86,4,34
396.8,1583,86,4,33
870.4,1586,86,4,33
281.6,1491,86,4,32
1062.4,1573,86,4,32
806.4,1550,86,4,32
1126.4,1629,86,4,33
1433.6,1645,86,4,34
742.4,1672,85,4,34
1356.8,1726,85,4,35
908.8,1819,85,4,36
1344,1906,85,4,37
947.2,1901,85,4,37
1459.2,1971,85,4,39
614.4,1845,85,4,39
1356.8,1932,85,4,39
691.2,1897,85,4,40
972.8,1924,85,4,39
1561.6,1958,85,4,41
1907.2,2041,85,4,42
2073.6,2141,85,4,44
2252.8,2246,85,4,47
2227.2,2350,85,4,49
1075.2,2152,85,4,50
422.4,1687,85,5,49
64,1651,85,5,48
0,1583,85,5,46
0,1515,85,5,44
179.2,1464,85,5,43
1139.2,1512,85,5,42
844.8,1464,85,5,42
307.2,1363,85,5,41
691.2,1461,85,5,41
1318.4,1535,85,5,41
1331.2,1477,85,5,42
1510.4,1492,85,5,43
1433.6,1530,85,5,44
1574.4,1571,85,5,45
1574.4,1609,85,5,47
1382.4,1644,85,5,48
883.2,1654,85,5,48
1216,1666,85,5,48
998.4,1671,85,5,49
384,1609,85,5,47
1152,1655,85,5,47
524.8,1560,86,5,46
76.8,1452,86,5,44
0,1437,86,5,42
358.4,1408,86,5,40
1753.6,1691,86,5,40
1766.4,2135,86,4,40
358.4,1794,86,4,39
499.2,1835,86,4,38
870.4,1836,86,4,37
1139.2,1879,86,4,38
243.2,1588,86,4,35
0,1411,86,4,29
294.4,971,86,4,24
422.4,960,86,3,17
537.6,901,86,3,8
486.4,826,86,1,2
435.2,747,86,1,0
371.2,675,86,1,0
371.2,672,86,1,0
358.4,675,86,1,0
345.6,666,87,1,0
371.2,672,87,1,0
345.6,672,87,1,0
345.6,673,87,1,0
345.6,670,87,1,0
345.6,668,87,1,0
332.8,668,87,1,0
332.8,667,87,1,0
332.8,671,87,1,0
345.6,664,87,1,0
358.4,670,88,1,0
345.6,671,88,1,0
371.2,674,88,1,0
358.4,667,88,1,0
371.2,671,88,1,0
371.2,670,88,1,0
358.4,673,88,1,0
371.2,670,88,1,0
371.2,671,88,1,0
371.2,673,88,1,0
384,670,88,1,0
371.2,670,88,1,0
371.2,672,88,1,0
384,671,88,1,0
371.2,670,88,1,0
384,670,88,1,0
371.2,673,88,1,0
371.2,669,87,1,0
384,669,87,1,0
371.2,673,87,1,0
371.2,668,87,1,0
384,669,87,1,0
358.4,670,87,1,0
371.2,671,87,1,0
371.2,669,87,1,0
358.4,669,87,1,0
371.2,669,87,1,0
384,668,87,1,0
358.4,669,87,1,0
358.4,669,87,1,0
371.2,669,87,1,0
371.2,668,87,1,0
358.4,674,87,1,0
537.6,831,87,1,0
1856,1730,87,1,6
2534.4,2279,87,1,13
3840,3236,87,1,20
4044.8,3313,87,2,26
4019.2,3237,87,2,32
4236.8,3610,87,2,37
3609.6,2881,86,3,41
2521.6,2765,86,3,44
409.6,1712,85,4,44
627.2,1380,85,5,41
601.6,1289,85,5,37
448,1027,85,5,32
332.8,930,85,4,27
320,870,85,4,22
384,966,86,3,18
409.6,1028,86,3,16
1126.4,1511,86,3,17
1625.6,1755,87,3,19
1587.2,1675,87,3,22
806.4,1540,87,3,23
1100.8,1623,87,3,25
1356.8,1694,87,3,26
793.6,1751,87,3,27
857.6,1833,87,3,27
857.6,1861,87,3,28
1241.6,1987,87,3,29
934.4,1934,87,3,30
665.6,1480,86,4,29
601.6,1432,86,4,29
627.2,1451,86,4,29
1984,1984,86,4,30
2240,2074,86,4,33
2035.2,1898,86,4,35
2918.4,2472,86,3,37
3302.4,2812,86,3,41
896,2315,86,4,42
716.8,1991,86,4,41
627.2,1665,86,4,34
384,1071,86,4,25
384,971,86,3,19
460.8,1091,86,3,17
396.8,1026,86,3,16
371.2,970,86,3,15
409.6,923,86,3,13
448,860,86,3,9
460.8,838,86,3,7
358.4,798,86,1,5
396.8,780,86,1,4
409.6,797,86,1,4
396.8,768,87,1,4
409.6,768,87,1,2
435.2,759,87,1,0
371.2,686,87,1,0
345.6,675,87,1,0
371.2,674,87,1,0
358.4,676,87,1,0
358.4,670,87,1,0
345.6,674,87,1,0
345.6,669,87,1,0
345.6,667,87,1,0
332.8,673,87,1,0
332.8,670,87,1,0
345.6,671,87,1,0
345.6,670,87,1,0
358.4,667,87,1,0
358.4,670,87,1,0
358.4,669,87,1,0
358.4,669,87,1,0
358.4,671,87,1,0
358.4,669,87,1,0
371.2,669,87,1,0
371.2,666,87,1,0
371.2,672,87,1,0
371.2,680,87,1,0
396.8,727,87,1,0
870.4,1224,87,1,3
1152,1585,87,1,8
1612.8,2078,87,1,12
1856,2237,87,1,16
1804.8,2087,87,2,19
1920,2310,87,2,23
1164.8,2268,87,2,25
1280,1796,86,3,26
1804.8,1805,86,3,28
1152,1934,86,3,29
1344,2039,86,3,30
1587.2,1853,86,4,30
2304,2049,86,4,32
2342.4,2092,86,4,34
2931.2,2489,86,3,36
2521.6,2570,86,3,38
755.2,1957,86,4,38
691.2,1839,86,4,38
640,1765,86,4,37
102.4,1513,86,4,35
563.2,1616,86,4,34
716.8,1599,86,4,34
665.6,1600,86,4,33
627.2,1509,86,4,32
2099.2,2035,86,3,34
3084.8,2581,86,3,36
3468.8,2792,86,3,40
3481.6,2996,86,3,44
1651.2,2452,86,4,46
652.8,1901,86,5,47
588.8,1651,86,5,46
1600,1869,86,5,47
2816,2456,86,4,47
3225.6,2614,86,4,49
3328,2697,86,4,51
3417.6,2764,86,4,52
3468.8,2805,86,4,53
2585.6,2746,86,4,54
1817.6,2631,86,4,53
2432,2704,86,4,53
1510.4,2581,86,4,52
1868.8,2575,86,4,51
3174.4,2681,86,4,51
3302.4,2711,86,4,52
2700.8,2600,87,4,52
1152,2474,87,4,51
2150.4,2596,87,4,50
3072,2653,87,4,51
3315.2,2654,87,4,51
1932.8,2525,87,4,52
678.4,2391,87,4,50
256,1921,87,4,48
371.2,1759,88,4,47
2150.4,2455,88,4,47
2905.6,2479,89,4,49
3033.6,2543,89,4,52
3212.8,2622,89,4,54
2931.2,2734,89,4,57
1420.8,2764,89,4,58
588.8,2118,89,5,58
896,2019,90,5,57
1408,2002,90,5,58
1523.2,2011,90,5,58
1868.8,2047,90,5,59
2278.4,2087,90,5,60
1945.6,2119,90,5,61
2675.2,2472,90,5,62
4006.4,3291,90,4,64
4172.8,3428,90,4,67
4352,3555,90,4,70
4480,3615,90,4,73
5068.8,3706,90,4,76
4736,3442,91,4,78
3174.4,2791,91,5,79
563.2,2274,91,6,78
691.2,2057,91,6,77
691.2,2032,91,6,76
550.4,1942,91,6,75
1702.4,2053,91,6,74
2099.2,2005,92,6,75
2176,2011,92,6,75
1292.8,2009,92,6,75
1075.2,2075,92,6,75
1536,2043,92,6,75
857.6,1985,92,6,74
1484.8,2026,92,6,74
1804.8,1986,92,6,74
1753.6,1987,92,6,74
678.4,1919,92,6,74
768,1947,92,6,73
1561.6,1974,92,6,73
1766.4,1962,92,6,74
844.8,1918,92,6,73
140.8,1806,92,6,72
76.8,1866,92,6,70
627.2,1846,91,6,69
704,1824,91,6,68
1292.8,1816,91,6,68
1292.8,1816,91,6,68
1011.2,1901,91,6,68
1945.6,1960,91,6,68
2073.6,1895,91,6,69
2086.4,1863,91,6,70
2086.4,1879,91,6,70
2099.2,1897,91,6,71
2163.2,1915,91,6,72
2150.4,1934,91,6,72
2201.6,2024,91,6,73
3430.4,2768,91,5,74
3532.8,2809,91,5,75
1830.4,2659,90,5,76
1779.2,2683,90,5,76
2572.8,3224,90,5,76
2867.2,3768,90,4,77
2905.6,4246,90,4,77
2892.8,4898,90,3,77
2803.2,4901,90,3,77
2675.2,4896,90,3,77
2368,4869,90,3,76
2598.4,4859,90,3,76
6873.6,5067,90,3,78
8384,5344,90,3,82
7974.4,5581,90,3,86
2380.8,5449,90,3,86
102.4,5226,90,3,83
0,5053,90,3,81
0,4590,90,3,79
0,3420,90,4,77
128,2212,90,5,75
870.4,1952,90,6,73
1088,1925,90,6,72
1600,1906,90,6,71
435.2,1762,90,6,70
0,1765,90,6,68
371.2,1761,90,6,66
1139.2,1771,90,6,65
1638.4,1745,90,6,65
768,1721,90,6,64
1062.4,1706,90,6,64
934.4,1683,90,6,63
435.2,1640,90,6,62
486.4,1592,90,6,61
870.4,1680,90,6,60
1216,1621,90,6,60
1305.6,1592,90,6,59
1638.4,1609,90,6,60
1472,1605,90,6,60
1331.2,1608,90,6,60
960,1604,90,6,60
1254.4,1602,90,6,60
1676.8,1609,90,6,60
1408,1616,90,6,60
1395.2,1623,90,6,61
2291.2,2166,90,5,61
2854.4,2405,90,5,62
2713.6,2320,90,5,63
2624,2272,90,5,64
2624,2261,90,5,65
2688,2260,90,5,65
3545.6,2997,90,4,66
4006.4,3409,90,4,67
3340.8,2737,90,5,68
1830.4,2413,90,5,68
1689.6,2038,90,6,67
2918.4,2507,90,5,67
3046.4,2549,90,5,67
3110.4,2562,90,5,67
2163.2,2495,90,5,67
1510.4,2408,90,5,66
1331.2,2349,90,5,65
1920,2410,90,5,64
1894.4,2391,90,5,64
2419.2,2423,90,5,63
2892.8,2451,90,5,63
2931.2,2463,90,5,64
2931.2,2465,90,5,64
2931.2,2474,90,5,64
2995.2,2488,90,5,64
2982.4,2488,90,5,65
3161.6,2503,90,5,65
3212.8,2519,90,5,66
3264,2547,90,5,66
3212.8,2540,90,5,66
1676.8,2392,91,5,66
601.6,2181,91,5,64
1881.6,2373,91,5,63
2726.4,2404,91,5,63
3097.6,2444,91,5,63
3200,2474,91,5,64
3212.8,2496,91,5,64
3404.8,2695,91,5,65
4889.6,3411,91,4,66
5004.8,3461,91,4,69
4518.4,3472,92,4,71
2688,3419,92,4,72
576,2555,92,5,70
691.2,2335,92,5,68
780.8,2307,92,5,66
1113.6,2308,92,5,65
1036.8,2203,92,5,64
1792,2174,92,5,63
2368,2180,92,5,63
1945.6,2187,92,5,63
1689.6,2182,92,5,63
2342.4,2190,92,5,64
2547.2,2210,92,5,64
2560,2231,92,5,65
2585.6,2252,92,5,65
2636.8,2277,92,5,66
2636.8,2301,92,5,67
2700.8,2325,92,5,68
2764.8,2356,92,5,68
2816,2388,93,5,69
2688,2416,93,5,70
2790.4,2445,93,5,71
2918.4,2482,93,5,72
972.8,2299,93,5,72
396.8,1689,93,6,71
243.2,1204,93,6,70
294.4,1270,93,6,69
268.8,1201,93,6,68
345.6,1317,93,6,66
345.6,1474,93,6,65
294.4,1236,93,6,63
294.4,1157,93,6,62
1408,1878,93,6,62
2662.4,2347,93,5,63
3059.2,2511,92,5,65
3123.2,2575,92,5,67
3264,2632,92,5,69
3302.4,2686,92,5,70
3328,2732,92,5,72
3532.8,2786,92,5,74
4185.6,3177,92,5,76
6336,3967,92,4,79
6604.8,4083,92,4,82
5644.8,3596,92,5,85
4044.8,3104,92,5,87
3648,3071,92,5,89
3699.2,3112,92,5,90
3558.4,3160,92,5,92
2688,2710,92,6,93
2739.2,2499,92,6,94
3008,2515,92,6,94
3033.6,2538,92,6,95
2995.2,2559,92,6,96
1497.6,2560,93,6,96
576,2534,93,6,95
358.4,2477,93,6,94
0,2453,93,6,93
0,2408,93,6,91
25.6,2373,93,6,90
550.4,2356,93,6,89
537.6,2333,93,6,88
755.2,2313,93,6,87
1356.8,2307,93,6,87
1740.8,2316,93,6,87
1753.6,2329,92,6,87
1728,2343,92,6,88
1702.4,2354,92,6,88
1651.2,2363,92,6,89
1779.2,2375,92,6,89
1779.2,2388,91,6,90
1766.4,2400,91,6,90
1894.4,2416,91,6,91
1932.8,2431,91,6,91
1958.4,2448,91,6,92
1638.4,2457,91,6,92
1331.2,2457,91,6,92
908.8,2445,91,6,92
793.6,2428,91,6,91
755.2,2409,91,6,90
652.8,2389,91,6,90
1011.2,2376,91,6,89
921.6,2365,90,6,89
588.8,2335,90,6,88
230.4,2292,90,6,87
0,2262,90,6,85
0,2224,90,6,84
0,2191,90,6,83
0,2152,90,6,81
0,2107,90,6,80
0,2070,90,6,78
0,2036,90,6,77
294.4,2015,90,6,76
563.2,2007,90,6,75
934.4,1999,90,6,75
1497.6,2007,89,6,75
1561.6,2023,89,6,76
1190.4,2034,89,6,76
1369.6,2047,89,6,77
832,2052,89,6,77
627.2,2047,89,6,77
678.4,2044,89,6,77
870.4,2092,89,6,77
1254.4,2098,88,6,77
857.6,2075,88,6,78
537.6,2068,88,6,78
345.6,2049,88,6,78
665.6,2073,88,6,78
1139.2,2088,88,6,78
921.6,2103,88,6,79
371.2,2072,88,6,79
12.8,2079,88,6,79
0,2067,88,6,78
0,2053,87,6,78
0,2050,87,6,78
0,2041,87,6,77
0,2028,87,6,77
0,2023,87,6,77
0,2010,87,6,76
0,1985,87,6,75
0,1967,87,6,74
0,1947,87,6,74
179.2,1943,87,6,73
678.4,1966,86,6,74
1356.8,2003,86,6,75
1331.2,2020,86,6,76
1113.6,2045,86,6,77
1100.8,2069,86,6,78
1164.8,2096,86,6,79
422.4,2078,86,6,79
128,2084,86,6,79
0,2070,86,6,78
0,2056,86,6,78
0,2049,86,6,78
563.2,2069,86,6,78
1011.2,2083,85,6,78
665.6,2093,85,6,78
934.4,2106,85,6,79
1164.8,2127,85,6,80
1203.2,2154,85,6,81
1113.6,2177,85,6,82
832,2193,85,6,82
409.6,2176,85,6,82
179.2,2173,85,6,82
115.2,2164,85,6,82
588.8,2174,85,6,82
614.4,2180,85,6,82
627.2,2184,84,6,82
614.4,2187,84,6,82
448,2167,84,6,82
358.4,2175,84,6,82
473.6,2168,84,6,82
384,2137,84,6,82
89.6,2152,84,6,81
0,2140,84,6,81
0,2125,84,6,80
0,2108,84,6,80
0,2101,84,6,79
307.2,2099,83,6,79
742.4,2104,83,6,79
857.6,2096,83,6,79
1331.2,2100,83,6,79
972.8,2097,83,6,78
793.6,2104,83,6,78
896,2067,83,6,77
972.8,2046,83,6,77
1062.4,2034,83,6,76
1062.4,2025,83,6,76
1062.4,2014,83,6,75
1152,2006,83,6,75
1190.4,2000,83,6,75
1241.6,1995,83,6,75
1510.4,2002,83,6,75
2252.8,2015,83,6,75
2316.8,2029,83,6,76
2316.8,2049,83,6,77
2368,2070,83,6,78
2073.6,2083,83,6,78
768,2064,83,6,78
332.8,2009,83,6,76
0,1976,83,6,75
0,1932,83,6,73
0,1878,83,6,71
0,1804,84,6,69
0,1760,84,6,67
0,1716,84,6,65
704,1748,84,6,64
1126.4,1744,84,6,64
601.6,1694,84,6,64
1088,1774,84,6,63
1446.4,1738,84,6,63
1638.4,1714,84,6,64
2176,1957,84,6,64
3008,2500,84,5,66
3225.6,2566,84,5,67
3046.4,2471,84,5,69
1945.6,2286,84,6,70
1190.4,1966,84,6,70
1190.4,1928,84,6,70
1408,1904,84,6,71
1420.8,1908,84,6,72
691.2,1904,85,6,72
576,1879,85,6,71
1203.2,1958,85,6,71
1408,1921,85,6,72
640,1916,85,6,72
550.4,1847,85,6,72
1280,1968,85,6,72
448,1881,85,6,72
38.4,1878,85,6,71
0,1812,85,6,69
0,1745,86,6,66
281.6,1745,86,6,66
627.2,1762,86,6,66
384,1671,85,6,66
371.2,1735,85,6,66
857.6,1771,85,6,66
1356.8,1792,85,6,67
972.8,1878,85,6,68
1446.4,1969,85,6,69
844.8,1847,84,6,70
640,1869,84,6,70
947.2,1916,84,6,71
819.2,1907,84,6,71
947.2,1923,84,6,72
908.8,1940,84,6,73
844.8,1952,84,6,73
716.8,1959,84,6,73
857.6,1997,84,6,74
1100.8,1981,84,6,74
1203.2,1972,84,6,74
1548.8,1985,84,6,74
1651.2,1996,84,6,75
1702.4,2004,84,6,75
1561.6,2005,84,6,75
896,1988,84,6,75
550.4,1955,84,6,73
768,1935,84,6,72
1267.2,1914,84,6,71
1689.6,1893,84,6,71
1996.8,1898,84,6,71
2124.8,1896,84,6,71
1881.6,1898,84,6,71
1587.2,1890,84,6,71
1433.6,1885,84,6,70
1420.8,1876,84,6,70
1382.4,1863,84,6,70
793.6,1892,84,6,69
1433.6,1963,84,6,68
640,1762,84,6,67
166.4,1694,84,6,66
537.6,1705,84,6,64
281.6,1615,84,6,63
1152,1744,84,6,62
1446.4,1697,84,6,62
1433.6,1678,84,6,63
1484.8,1691,84,6,63
1587.2,1711,84,6,64
1728,1732,84,6,65
1958.4,1759,84,6,66
1984,1792,84,6,67
2022.4,1828,84,6,69
2073.6,1868,84,6,70
2163.2,1905,84,6,72
1984,1945,84,6,73
1382.4,1975,84,6,74
448,1956,84,6,74
563.2,1967,84,6,74
601.6,1962,85,6,74
499.2,1949,85,6,73
409.6,1938,85,6,73
473.6,1935,85,6,73
652.8,1948,85,6,73
768,1949,85,6,73
1024,1960,85,6,73
1382.4,1981,85,6,74
640,1979,84,6,74
332.8,1946,84,6,74
320,1907,84,6,74
409.6,1952,84,6,73
793.6,1953,84,6,73
934.4,1961,84,6,74
486.4,1944,84,6,73
550.4,1954,84,6,73
652.8,1948,84,6,73
780.8,1945,84,6,73
896,1948,84,6,73
1113.6,1957,84,6,73
1126.4,1968,84,6,74
1292.8,1979,84,6,74
1561.6,1999,84,6,75
793.6,1994,84,6,75
422.4,1955,84,6,74
1472,2043,84,6,74
3148.8,2799,84,6,75
5081.6,3886,84,4,77
5363.2,4035,84,4,81
3123.2,3420,84,5,83
1728,2904,84,5,83
576,2233,84,6,83
